,Lambda,MSE,MSE_formula
68,8.3668341708543,3.254938783080127e-05,3.2549387830801256e-05
69,8.3869346733668,3.166120429067822e-05,3.166120429067824e-05
70,8.4070351758794,3.08431851548159e-05,3.0843185154815934e-05
71,8.427135678392,2.999792749519474e-05,2.999792749519475e-05
72,8.4472361809045,2.9146074914107583e-05,2.9146074914107553e-05
73,8.4673366834171,2.8311773114071233e-05,2.8311773114071196e-05
74,8.4874371859296,2.7380101382940748e-05,2.738010138294073e-05
75,8.5075376884422,2.6623712310912866e-05,2.6623712310912862e-05
76,8.5276381909548,2.5912937195651192e-05,2.59129371956512e-05
77,8.5477386934673,2.5240060214619914e-05,2.5240060214619927e-05
78,8.5678391959799,2.451995051931831e-05,2.4519950519318315e-05
79,8.5879396984925,2.3951890232008158e-05,2.39518902320082e-05
80,8.608040201005,2.3397423257918744e-05,2.3397423257918737e-05
81,8.6281407035176,2.3092721841100177e-05,2.309272184110014e-05
82,8.6482412060301,2.263784167050641e-05,2.263784167050638e-05
83,8.6683417085427,2.2185603365582644e-05,2.2185603365582654e-05
84,8.6884422110553,2.164011909127046e-05,2.164011909127048e-05
85,8.7085427135678,2.1175604946461817e-05,2.1175604946461813e-05
86,8.7286432160804,2.0678641342780886e-05,2.067864134278085e-05
87,8.748743718593,2.0078891113966796e-05,2.00788911139668e-05
88,8.7688442211055,1.951349619456506e-05,1.9513496194565058e-05
89,8.7889447236181,1.8909420004773556e-05,1.8909420004773576e-05
90,8.8090452261307,1.769844911518717e-05,1.7698449115187167e-05
91,8.8291457286432,1.7020067327602023e-05,1.702006732760203e-05
92,8.8492462311558,1.628202156333958e-05,1.6282021563339592e-05
93,8.8693467336683,1.5561708691634164e-05,1.556170869163416e-05
94,8.8894472361809,1.4809368793248605e-05,1.4809368793248608e-05
95,8.9095477386935,1.409976182382036e-05,1.4099761823820357e-05
96,8.929648241206,1.3338885747926853e-05,1.333888574792686e-05
97,8.9497487437186,1.274247115362132e-05,1.2742471153621318e-05
98,8.9698492462312,1.214005455508965e-05,1.2140054555089654e-05
99,8.9899497487437,1.156564666228486e-05,1.1565646662284857e-05
100,9.0100502512563,1.1410247633176193e-05,1.1410247633176184e-05
101,9.0301507537688,1.1037688585696503e-05,1.1037688585696515e-05
102,9.0502512562814,1.0769159951773377e-05,1.0769159951773374e-05
103,9.070351758794,1.0631271306380374e-05,1.0631271306380382e-05
104,9.0904522613065,1.0663657100170233e-05,1.0663657100170231e-05
105,9.1105527638191,1.0840006260635637e-05,1.0840006260635639e-05
106,9.1306532663317,1.1099633366904774e-05,1.1099633366904777e-05
107,9.1507537688442,1.1567852889839545e-05,1.1567852889839545e-05
108,9.1708542713568,1.2116724871206391e-05,1.211672487120637e-05
109,9.1909547738693,1.286893832631547e-05,1.2868938326315491e-05
110,9.2110552763819,1.3762041930839058e-05,1.3762041930839043e-05
111,9.2311557788945,1.4685303030784862e-05,1.468530303078487e-05
112,9.251256281407,1.5799352938228162e-05,1.5799352938228165e-05
113,9.2713567839196,1.7003272416530336e-05,1.7003272416530346e-05
114,9.2914572864322,1.8177138700192305e-05,1.8177138700192305e-05
115,9.3115577889447,1.9487210123846743e-05,1.948721012384672e-05
116,9.3316582914573,2.081670002706374e-05,2.0816700027063753e-05
117,9.3517587939699,2.2365135197188206e-05,2.2365135197188206e-05
118,9.3718592964824,2.355285410132802e-05,2.3552854101328038e-05
119,9.391959798995,2.4827482366108514e-05,2.4827482366108517e-05
120,9.4120603015075,2.6003127822889404e-05,2.600312782288943e-05
121,9.4321608040201,2.696040965971433e-05,2.696040965971437e-05
122,9.4522613065327,2.7912593422237588e-05,2.7912593422237574e-05
123,9.4723618090452,2.8754474623665768e-05,2.8754474623665774e-05
124,9.4924623115578,2.9418208152890353e-05,2.941820815289034e-05
125,9.5125628140704,2.9919708414064554e-05,2.99197084140646e-05
126,9.5326633165829,3.011220997915623e-05,3.0112209979156227e-05
127,9.5527638190955,3.0242077160112754e-05,3.0242077160112727e-05
128,9.572864321608,3.01888868563556e-05,3.0188886856355626e-05
129,9.5929648241206,2.995827969360366e-05,2.9958279693603646e-05
130,9.6130653266332,2.9501222707854627e-05,2.9501222707854587e-05
131,9.6331658291457,2.8753202101349755e-05,2.875320210134975e-05
132,9.6532663316583,2.7981847115137702e-05,2.7981847115137726e-05
133,9.6733668341709,2.699392065832047e-05,2.6993920658320438e-05
134,9.6934673366834,2.590930585518896e-05,2.5909305855188976e-05
135,9.713567839196,2.4707107151796424e-05,2.4707107151796458e-05
136,9.7336683417085,2.332917278230834e-05,2.332917278230834e-05
137,9.7537688442211,2.191834324075919e-05,2.1918343240759185e-05
138,9.7738693467337,2.0445973731435782e-05,2.0445973731435793e-05
139,9.7939698492462,1.8931898054705472e-05,1.8931898054705476e-05
140,9.8140703517588,1.7179796063654096e-05,1.7179796063654096e-05
141,9.8341708542714,1.5646655241600282e-05,1.5646655241600265e-05
142,9.8542713567839,1.4132395345921701e-05,1.4132395345921688e-05
143,9.8743718592965,1.261264380403726e-05,1.2612643804037248e-05
144,9.894472361809,1.1217731516561799e-05,1.1217731516561797e-05
145,9.9145728643216,9.911326370772141e-06,9.911326370772153e-06
146,9.9346733668342,8.682944750504422e-06,8.682944750504425e-06
147,9.9547738693467,7.618943128894337e-06,7.618943128894345e-06
148,9.9748743718593,6.697867704136448e-06,6.6978677041364464e-06
149,9.9949748743719,5.928746390863593e-06,5.928746390863592e-06
150,10.015075376884,5.345303860606739e-06,5.345303860606747e-06
151,10.035175879397,4.947157272221069e-06,4.947157272221072e-06
152,10.05527638191,4.74545720747891e-06,4.745457207478904e-06
153,10.075376884422,4.738213994953334e-06,4.738213994953329e-06
154,10.095477386935,4.949096778258645e-06,4.949096778258647e-06
155,10.115577889447,5.348652392827795e-06,5.348652392827803e-06
156,10.13567839196,5.946238960453331e-06,5.9462389604533335e-06
157,10.155778894472,6.753375075317733e-06,6.753375075317732e-06
158,10.175879396985,7.737593520642738e-06,7.737593520642738e-06
159,10.195979899497,8.864942688224389e-06,8.864942688224378e-06
160,10.21608040201,1.0153706241502792e-05,1.0153706241502792e-05
161,10.236180904523,1.1548043960538045e-05,1.1548043960538038e-05
162,10.256281407035,1.3053694739023413e-05,1.3053694739023402e-05
163,10.276381909548,1.461332357643917e-05,1.4613323576439176e-05
164,10.29648241206,1.62119839037012e-05,1.6211983903701193e-05
165,10.316582914573,1.780972552211932e-05,1.7809725522119316e-05
166,10.336683417085,1.9362045970305045e-05,1.9362045970305025e-05
167,10.356783919598,2.0825792187003304e-05,2.0825792187003307e-05
168,10.376884422111,2.2093731817246325e-05,2.209373181724633e-05
169,10.396984924623,2.326617343966239e-05,2.326617343966239e-05
170,10.417085427136,2.4197698113161845e-05,2.4197698113161862e-05
171,10.437185929648,2.4872973174760993e-05,2.4872973174760996e-05
172,10.457286432161,2.5243747608953608e-05,2.524374760895364e-05
173,10.477386934673,2.526654038395099e-05,2.5266540383950984e-05
174,10.497487437186,2.4828461961973165e-05,2.4828461961973134e-05
175,10.517587939698,2.4092986000917018e-05,2.4092986000916994e-05
176,10.537688442211,2.300365548169962e-05,2.3003655481699585e-05
177,10.557788944724,2.156153430495422e-05,2.156153430495424e-05
178,10.577889447236,1.9830336415224347e-05,1.983033641522434e-05
179,10.597989949749,1.780697349668922e-05,1.7806973496689228e-05
180,10.618090452261,1.5703280435409248e-05,1.5703280435409254e-05
181,10.638190954774,1.357269613748897e-05,1.3572696137488969e-05
182,10.658291457286,1.150590690821121e-05,1.1505906908211199e-05
