,Lambda,MSE,MSE_formula
75,8.5075376884422,3.448792341528337e-05,3.448792341528337e-05
76,8.5276381909548,3.3140892837277036e-05,3.3140892837276996e-05
77,8.5477386934673,3.1784763680442397e-05,3.17847636804424e-05
78,8.5678391959799,3.0249313538439276e-05,3.024931353843929e-05
79,8.5879396984925,2.8863131820715494e-05,2.8863131820715504e-05
80,8.608040201005,2.7486730303045676e-05,2.7486730303045672e-05
81,8.6281407035176,2.6125057418652987e-05,2.6125057418652967e-05
82,8.6482412060301,2.4784186059860968e-05,2.4784186059860968e-05
83,8.6683417085427,2.345695216022809e-05,2.345695216022811e-05
84,8.6884422110553,2.2040712541016108e-05,2.2040712541016132e-05
85,8.7085427135678,2.0767545034207927e-05,2.0767545034207934e-05
86,8.7286432160804,1.9510840713109394e-05,1.9510840713109377e-05
87,8.748743718593,1.819467895097535e-05,1.8194678950975376e-05
88,8.7688442211055,1.7005958697235683e-05,1.7005958697235704e-05
89,8.7889447236181,1.5858687148996445e-05,1.5858687148996415e-05
90,8.8090452261307,1.4324228753604352e-05,1.4324228753604386e-05
91,8.8291457286432,1.3271610130665507e-05,1.327161013066552e-05
92,8.8492462311558,1.2231318565065302e-05,1.223131856506528e-05
93,8.8693467336683,1.131933459301866e-05,1.1319334593018659e-05
94,8.8894472361809,1.0447382451181673e-05,1.0447382451181667e-05
95,8.9095477386935,9.7168290782782e-06,9.7168290782782e-06
96,8.929648241206,9.01618405257576e-06,9.016184052575765e-06
97,8.9497487437186,8.530911908352058e-06,8.530911908352061e-06
98,8.9698492462312,8.109607821996275e-06,8.109607821996285e-06
99,8.9899497487437,7.788780934033842e-06,7.78878093403384e-06
100,9.0100502512563,7.84722162286605e-06,7.847221622866043e-06
101,9.0301507537688,7.796807539780296e-06,7.796807539780286e-06
102,9.0502512562814,7.873480646023252e-06,7.87348064602325e-06
103,9.070351758794,8.08964680284216e-06,8.089646802842158e-06
104,9.0904522613065,8.470610704642511e-06,8.470610704642513e-06
105,9.1105527638191,8.988100831206062e-06,8.988100831206058e-06
106,9.1306532663317,9.577246319573221e-06,9.577246319573221e-06
107,9.1507537688442,1.0342986424081869e-05,1.0342986424081869e-05
108,9.1708542713568,1.1159589075607632e-05,1.115958907560762e-05
109,9.1909547738693,1.2135775880519277e-05,1.2135775880519287e-05
110,9.2110552763819,1.3208948286060537e-05,1.3208948286060536e-05
111,9.2311557788945,1.4269907031551211e-05,1.4269907031551223e-05
112,9.251256281407,1.5469582133967343e-05,1.546958213396734e-05
113,9.2713567839196,1.6732217942651063e-05,1.673221794265108e-05
114,9.2914572864322,1.789431696546432e-05,1.789431696546434e-05
115,9.3115577889447,1.913786868278247e-05,1.9137868682782502e-05
116,9.3316582914573,2.0396090782114847e-05,2.03960907821148e-05
117,9.3517587939699,2.1709470842716106e-05,2.17094708427161e-05
118,9.3718592964824,2.2743174925842605e-05,2.2743174925842663e-05
119,9.391959798995,2.384753387253659e-05,2.3847533872536623e-05
120,9.4120603015075,2.4838013680907446e-05,2.483801368090745e-05
121,9.4321608040201,2.560107544204712e-05,2.5601075442047098e-05
122,9.4522613065327,2.6365281229464686e-05,2.636528122946469e-05
123,9.4723618090452,2.7027102110751736e-05,2.702710211075171e-05
124,9.4924623115578,2.7530316297685125e-05,2.7530316297685135e-05
125,9.5125628140704,2.789372478919452e-05,2.7893724789194542e-05
126,9.5326633165829,2.7966417903897976e-05,2.796641790389798e-05
127,9.5527638190955,2.801858747063606e-05,2.801858747063603e-05
128,9.572864321608,2.7922727254121956e-05,2.7922727254121953e-05
129,9.5929648241206,2.7686680309020447e-05,2.7686680309020447e-05
130,9.6130653266332,2.7268913502035128e-05,2.7268913502035145e-05
131,9.6331658291457,2.6582976031812854e-05,2.6582976031812867e-05
132,9.6532663316583,2.5920731064382258e-05,2.5920731064382275e-05
133,9.6733668341709,2.5084937394875548e-05,2.508493739487555e-05
134,9.6934673366834,2.4174687936687873e-05,2.4174687936687866e-05
135,9.713567839196,2.3170649478050517e-05,2.3170649478050527e-05
136,9.7336683417085,2.2020540260231625e-05,2.2020540260231642e-05
137,9.7537688442211,2.0838118317755864e-05,2.0838118317755874e-05
138,9.7738693467337,1.9597845394689893e-05,1.9597845394689883e-05
