,Unnamed: 0,Frequency,S1_Real[RE],S1_Imaginary[Im],Lambda,Magnitude,Phase(Deg),Phase(Rad)
44043,44043,35.0,0.056971199810505,0.11465438455343,7.8643216080402,0.1280286901642529,63.57744446364816,1.1096357358945006
45044,45044,35.0,0.063817381858826,0.12509399652481,7.8844221105528,0.1404320696773511,62.971351472053065,1.099057417617904
46045,46045,35.0,0.070854887366295,0.13524305820465,7.9045226130653,0.1526797296835329,62.34960823380512,1.0882059510084656
47046,47046,35.0,0.078069552779198,0.14509490132332,7.9246231155779,0.1647646365612717,61.71714676102072,1.0771674159163656
48047,48047,35.0,0.085432946681976,0.1546238809824,7.9447236180905,0.1766559734309167,61.0784263307085,1.0660196414076624
49048,49048,35.0,0.092958249151707,0.16387827694416,7.964824120603,0.1884073399301036,60.43637584395216,1.0548137464497318
50049,50049,35.0,0.10061920434237,0.17283317446709,7.9849246231156,0.1999888258850058,59.7930929776015,1.0435863424102465
51050,51050,35.0,0.10840310156345,0.18149051070213,8.0050251256281,0.2114001842560588,59.15040262601185,1.0323692797042068
52051,52051,35.0,0.11629847437143,0.18985177576542,8.0251256281407,0.2226410382261219,58.50940086056835,1.0211816883861211
53052,53052,35.0,0.12429597228765,0.19792424142361,8.0452261306533,0.2337166961730456,57.87127273625297,1.0100442515672423
54053,54053,35.0,0.13237230479717,0.20569334924221,8.0653266331658,0.2446061753100126,57.23701819551771,0.9989744215356876
55054,55054,35.0,0.14052793383598,0.21317903697491,8.0854271356784,0.2553299864758536,56.60707053088712,0.9879797606726348
56055,56055,35.0,0.14874973893166,0.220379576087,8.105527638191,0.2658827606079845,55.98180650203528,0.9770668446748852
57056,57056,35.0,0.15702548623085,0.22729730606079,8.1256281407035,0.2762626805569788,55.36183187344504,0.9662462461271566
58057,58057,35.0,0.16534554958344,0.2339363694191,8.1457286432161,0.2864705494532369,54.74744065224352,0.9555230964218412
59058,59058,35.0,0.17370085418224,0.24030198156834,8.1658291457286,0.2965080590630052,54.1389396669074,0.9449027507260962
60059,60059,35.0,0.1820832490921,0.24639713764191,8.1859296482412,0.3063753564470584,53.53623596626403,0.9343835867359152
61060,61060,35.0,0.19047985970974,0.25222718715668,8.2060301507538,0.3160714015788412,52.94020297395375,0.9239808485695868
62061,62061,35.0,0.19888617098331,0.25779700279236,8.2261306532663,0.3255994527899678,52.35040123563544,0.9136868663019462
63062,63062,35.0,0.20729029178619,0.26311263442039,8.2462311557789,0.3349589877290078,51.76759524416113,0.9035149828503696
64063,64063,35.0,0.21576081216335,0.26809993386269,8.2663316582915,0.3441370404396585,51.173669107332216,0.8931490162490546
65064,65064,35.0,0.22413656115532,0.27289047837257,8.286432160804,0.353137949295941,50.60228242317441,0.883176437308448
66065,66065,35.0,0.2324904948473,0.27744275331497,8.3065326633166,0.3619755676303771,50.03778493669516,0.873324097550153
67066,67066,35.0,0.24084748327732,0.28174602985382,8.3266331658291,0.3706593254450892,49.474888203793945,0.8634996962123076
68067,68067,35.0,0.24912831187248,0.28583166003227,8.3467336683417,0.3791630963757349,48.92488528407144,0.8539003343675677
69068,69068,35.0,0.25736680626869,0.2896933555603,8.3668341708543,0.3875047267127613,48.38175519112004,0.844420925978903
70069,70069,35.0,0.26556929945946,0.29333963990211,8.3869346733668,0.3956958391912756,47.8444989079029,0.8350440349097369
71070,71070,35.0,0.27370819449425,0.29677110910416,8.4070351758794,0.4037192922467484,47.3150506608656,0.8258034197800237
72071,72071,35.0,0.28179123997688,0.29999703168869,8.427135678392,0.411587805880753,46.79236122790587,0.8166807682094942
73072,73072,35.0,0.28981465101242,0.30302280187607,8.4472361809045,0.4193034109070361,46.27631295611397,0.8076740267674989
74073,74073,35.0,0.29777327179909,0.30585566163063,8.4673366834171,0.4268683721587313,45.76712551122468,0.7987870293443636
75074,75074,35.0,0.30567866563797,0.30850332975388,8.4874371859296,0.4342968467482133,45.26350526807138,0.7899971979216442
76075,76075,35.0,0.31349384784698,0.31096550822258,8.5075376884422,0.4415630645129106,44.7680194929174,0.7813493397484108
77076,77076,35.0,0.32123923301697,0.31325629353523,8.5276381909548,0.4486915981704598,44.279168111716245,0.7728172735935288
78077,78077,35.0,0.32889559864998,0.3152519762516,8.5477386934673,0.4555832781631346,43.7866055214484,0.764220434621203
79078,79078,35.0,0.3364717066288,0.31733965873718,8.5678391959799,0.4625123440181106,43.32386995063421,0.7561441753444001
80079,80079,35.0,0.34396997094154,0.31914308667183,8.5879396984925,0.469220258173011,42.85585341830544,0.7479757459014965
81080,81080,35.0,0.35133230686188,0.32068967819214,8.608040201005,0.4756850423797962,42.38925501023926,0.7398320673961777
82081,82081,35.0,0.35894525051117,0.32260879874229,8.6281407035176,0.4826159237846074,41.948215424746046,0.7321344744976901
83082,83082,35.0,0.36618885397911,0.3239814043045,8.6482412060301,0.4889358108316978,41.500427736147245,0.724319104981746
84083,84083,35.0,0.37334302067757,0.32521542906761,8.6683417085427,0.4951263337697583,41.05880176288317,0.7166112776859633
85084,85084,35.0,0.38041025400162,0.32631200551987,8.6884422110553,0.501190070029302,40.622653287222015,0.7089990507581219
86085,86085,35.0,0.38739556074142,0.32724705338478,8.7085427135678,0.5071153265591372,40.18899051387472,0.7014302075198816
87086,87086,35.0,0.39427018165588,0.32811293005943,8.7286432160804,0.51293963681426,39.76733762172019,0.6940709762512285
88087,88087,35.0,0.4010563492775,0.32885506749153,8.748743718593,0.5186442429167172,39.35080108873688,0.6868010422958278
89088,89088,35.0,0.40774545073509,0.32948970794678,8.7688442211055,0.524232601273534,38.94087920571841,0.6796465557611805
90089,90089,35.0,0.41434222459793,0.3300164937973,8.7889447236181,0.5297078112157917,38.53672203753583,0.6725926824808581
91090,91090,35.0,0.42046949267387,0.33041703701019,8.8090452261307,0.5347616409354872,38.16128313204527,0.666040037439964
92091,92091,35.0,0.42688578367233,0.33079522848129,8.8291457286432,0.5400527339876433,37.77222486194253,0.6592496896445578
93092,93092,35.0,0.43321678042412,0.331074655056,8.8492462311558,0.5452405029539621,37.38793017999535,0.6525424821466751
94093,94093,35.0,0.43945616483688,0.33127820491791,8.8693467336683,0.5503335078538938,37.01032949263227,0.6459521068943955
95094,95094,35.0,0.44560721516609,0.33139050006866,8.8894472361809,0.5553246381566683,36.63755358115328,0.6394459398669642
96095,96095,35.0,0.45167589187622,0.33142518997192,8.9095477386935,0.5602265326188166,36.27001916837635,0.6330312542496229
97096,97096,35.0,0.45757904648781,0.33143657445908,8.929648241206,0.565003351028879,35.9168055737612,0.6268665140607841
98097,98097,35.0,0.46356508135796,0.33127680420876,8.9497487437186,0.5697691687527338,35.55067947502159,0.6204764081602959
99098,99098,35.0,0.46937671303749,0.331084638834,8.9698492462312,0.5743966720078717,35.19802672431097,0.6143214565441809
100099,100099,35.0,0.47506648302078,0.33090177178383,8.9899497487437,0.5789509010783306,34.85867040022612,0.6083985713514353
101100,101100,35.0,0.48088496923447,0.33023679256439,9.0100502512563,0.5833581171106245,34.478445592886416,0.6017623965655964
102101,102101,35.0,0.48645356297493,0.32985639572144,9.0301507537688,0.5877434055175297,34.14056918202052,0.5958653407311654
103102,103102,35.0,0.49188920855522,0.32941699028015,9.0502512562814,0.5920055295166703,33.810122754137375,0.5900979625631505
104103,104103,35.0,0.49730214476585,0.32891896367073,9.070351758794,0.5962357820954236,33.480916695657314,0.5843522329251604
105104,105104,35.0,0.50263220071793,0.32836112380028,9.0904522613065,0.6003833415593176,33.15590681344386,0.5786797403790167
106105,106105,35.0,0.5078803896904,0.32775291800499,9.1105527638191,0.6044538572073621,32.8355630781323,0.5730886874596928
107106,107106,35.0,0.513048350811,0.32710430026054,9.1306532663317,0.608453641224066,32.52036728512153,0.5675874830832203
108107,108107,35.0,0.51812791824341,0.32640069723129,9.1507537688442,0.612367499804098,32.20935305140408,0.5621592606842836
109108,109108,35.0,0.52315175533295,0.32565650343895,9.1708542713568,0.6162304092951189,31.901832492736364,0.5567920144179596
110109,110109,35.0,0.5280944108963,0.3248615860939,9.1909547738693,0.6200151263794735,31.59809028708368,0.5514907128520505
111110,111110,35.0,0.53295981884003,0.32402348518372,9.2110552763819,0.623728616826743,31.298338832483857,0.5462590630316413
112111,112111,35.0,0.53777283430099,0.32315105199814,9.2311557788945,0.6273963848474301,31.00192049207999,0.5410855870282965
113112,113112,35.0,0.54250019788742,0.32223269343376,9.251256281407,0.6309836554344854,30.709341854395277,0.5359791264796986
114113,114113,35.0,0.54718065261841,0.32139161229134,9.2713567839196,0.6345858768134822,30.428239835168704,0.5310729707101906
115114,115114,35.0,0.55177706480026,0.3203743994236,9.2914572864322,0.6380420715326088,30.14043165667349,0.5260497703812815
116115,116115,35.0,0.5562869310379,0.31925714015961,9.3115577889447,0.6413893288685572,29.85182946542101,0.5210127119154554
117116,117116,35.0,0.56079053878784,0.3182632625103,9.3316582914573,0.644808136314715,29.576041238714986,0.5161992993211987
118117,118117,35.0,0.56492638587952,0.31682658195496,9.3517587939699,0.6477043341650258,29.28493238395589,0.5111184913239426
119118,119118,35.0,0.56925785541534,0.31570520997047,9.3718592964824,0.6509410768683834,29.012350389804265,0.5063610380443447
120119,120119,35.0,0.5734983086586,0.3146039545536,9.391959798995,0.6541222808122641,28.74785040402804,0.5017446424210714
121120,121120,35.0,0.57769805192947,0.31341284513474,9.4120603015075,0.6572386558157981,28.480723995389948,0.4970824070713089
122121,122121,35.0,0.58184063434601,0.31221053004265,9.4321608040201,0.6603135155709595,28.21761278631505,0.4924902501740488
123122,123122,35.0,0.5859152674675,0.31098127365112,9.4522613065327,0.6633295208365031,27.95764211007243,0.4879529059149788
124123,124123,35.0,0.58991849422455,0.30975198745728,9.4723618090452,0.6662958228609086,27.70288205625713,0.4835065041733439
125124,125124,35.0,0.59387320280075,0.3084708750248,9.4924623115578,0.6692082349638163,27.448362510599168,0.4790643000909324
126125,126125,35.0,0.59776645898819,0.30717423558235,9.5125628140704,0.672071983121511,27.19727066953784,0.4746819207395178
127126,127126,35.0,0.60160356760025,0.30587241053581,9.5326633165829,0.6748961283607543,26.950082090725697,0.4703676661659206
128127,128127,35.0,0.60538196563721,0.30453270673752,9.5527638190955,0.6776632598803424,26.704327932652763,0.4660784469570813
129128,129128,35.0,0.60909968614578,0.30317920446396,9.572864321608,0.6803822878957736,26.461813595398095,0.4618457732886954
130129,130129,35.0,0.61275780200958,0.30181294679642,9.5929648241206,0.6830543014852848,26.22248338034931,0.457668673036588
131130,131130,35.0,0.61637091636658,0.30040606856346,9.6130653266332,0.6856798907451872,25.983618829135967,0.4534997001516165
132131,132131,35.0,0.61992621421814,0.29901367425919,9.6331658291457,0.6882715223433381,25.74975744067949,0.4494180489297655
133132,133132,35.0,0.62341696023941,0.29760155081749,9.6532663316583,0.6908077803290298,25.51848415425952,0.4453815686098292
134133,134133,35.0,0.62686908245087,0.29613801836967,9.6733668341709,0.6932983286123735,25.286428726630955,0.4413314373505873
135134,135134,35.0,0.63025498390198,0.29469642043114,9.6934673366834,0.6957494699589877,25.059984179548373,0.4373792344308089
136135,136135,35.0,0.63358467817307,0.29324570298195,9.713567839196,0.6981565631955705,24.836391255687328,0.4334768017252727
137136,137136,35.0,0.63688045740128,0.29173564910889,9.7336683417085,0.7005186692591775,24.61108139423607,0.429544402805736
138137,138137,35.0,0.6401099562645,0.29026159644127,9.7537688442211,0.7028460361114479,24.39219324649049,0.4257240839339837
139138,139138,35.0,0.64328503608704,0.28878006339073,9.7738693467337,0.7051308833581595,24.17600941553318,0.4219509642942039
140139,140139,35.0,0.64640659093857,0.2872898876667,9.7939698492462,0.7073732821957364,23.96234608295263,0.4182218356498897
141140,141140,35.0,0.64951759576797,0.28574457764626,9.8140703517588,0.7095935955647031,23.74630434971986,0.4144511960832626
142141,142141,35.0,0.65254563093185,0.28423765301704,9.8341708542714,0.7117631936542388,23.53711300929267,0.4108001184261478
143142,143142,35.0,0.65552258491516,0.28272384405136,9.8542713567839,0.7138925908909763,23.33031203833756,0.4071907605866599
144143,144143,35.0,0.65848350524902,0.28114661574364,9.8743718592965,0.7159915825127682,23.120580412649808,0.4035302531728483
145144,145144,35.0,0.66137140989304,0.27962064743042,9.894472361809,0.7180528172031043,22.918113389311426,0.3999965369888814
146145,146145,35.0,0.66421115398407,0.27808770537376,9.9145728643216,0.7200758494470517,22.71777595085748,0.3964999890728485
147146,147146,35.0,0.66703581809998,0.27649748325348,9.9346733668342,0.7220717698912055,22.514823149999565,0.3929577944717335
148147,148147,35.0,0.66979104280472,0.27495664358139,9.9547738693467,0.7240312126358764,22.3186932867894,0.38953468259723
149148,149148,35.0,0.67250138521194,0.27340942621231,9.9748743718593,0.7259551139386806,22.12449216382949,0.3861452335905093
150149,150149,35.0,0.67519646883011,0.27181327342987,9.9949748743719,0.7278548805450925,21.928195118879422,0.3827192038441953
151150,151150,35.0,0.67782658338547,0.27026137709618,10.015075376884,0.7297191850937887,21.73803918274375,0.3794003566664157
152151,152151,35.0,0.68043410778046,0.26866313815117,10.035175879397,0.7315534545282562,21.54612842292485,0.376050882037572
153152,153152,35.0,0.68298673629761,0.26710838079453,10.05527638191,0.7333605996023626,21.359905431076434,0.3728006776869025
154153,154153,35.0,0.68549931049347,0.26554936170578,10.075376884422,0.7351365643126248,21.175417806988168,0.3695807612173806
155154,155154,35.0,0.68798965215683,0.2639539539814,10.095477386935,0.7368863218280626,20.989798998907084,0.3663411018627382
156155,156155,35.0,0.69042879343033,0.26239454746246,10.115577889447,0.7386087038044504,20.8090828736266,0.3631870104651473
157156,157156,35.0,0.69283074140549,0.26083108782768,10.13567839196,0.7403021630482054,20.62993000138286,0.3600602029800892
158157,158157,35.0,0.69520998001099,0.25924307107925,10.155778894472,0.7419729686514746,20.45043258293383,0.3569273820293236
159158,159158,35.0,0.69753348827362,0.25767111778259,10.175879396985,0.7436043115814309,20.27439233132497,0.3538549000227098
160159,160159,35.0,0.69983226060867,0.25610625743866,10.195979899497,0.7452218515904365,20.10029011051764,0.3508162430345877
161160,161160,35.0,0.70210587978363,0.25452861189842,10.21608040201,0.7468182380617667,19.92667918820878,0.347786160822874
162161,162161,35.0,0.70433938503265,0.25296619534492,10.236180904523,0.7483888463195159,19.75594574137435,0.3448063000323345
163162,163162,35.0,0.70654559135437,0.25139427185059,10.256281407035,0.7499371657556283,19.58594375995814,0.3418392057217075
164163,164163,35.0,0.70871555805206,0.24983592331409,10.276381909548,0.7514623948031244,19.418538509935964,0.3389174329236962
165164,165164,35.0,0.71085596084595,0.24827633798122,10.29648241206,0.7529656944852029,19.252465755263387,0.3360189165568029
166165,166165,35.0,0.71296685934067,0.246717274189,10.316582914573,0.7544475832696059,19.087826333602056,0.3331454165702334
167166,167166,35.0,0.71504700183868,0.24516259133816,10.336683417085,0.7559080043432049,18.92490391887836,0.3303018840080052
168167,168167,35.0,0.71709805727005,0.24361069500446,10.356783919598,0.7573478688562053,18.763518533686117,0.3274851776718012
169168,169168,35.0,0.71911078691483,0.24205094575882,10.376884422111,0.7587548907255921,18.603108118372287,0.3246854877700834
170169,170169,35.0,0.72110664844513,0.24050214886665,10.396984924623,0.7601553012649748,18.444478124933315,0.3219168720921563
171170,171170,35.0,0.72307115793228,0.23896323144436,10.417085427136,0.761534848457941,18.287878636242933,0.3191836954075696
172171,172171,35.0,0.72501224279404,0.23742006719112,10.437185929648,0.7628964808584976,18.132091031362048,0.3164646887686021
173172,173172,35.0,0.72692286968231,0.23588980734348,10.457286432161,0.7642387452070909,17.9784846634957,0.3137837518973047
174173,174173,35.0,0.72881108522415,0.23435297608376,10.477386934673,0.7655631360932412,17.82546326236087,0.311113024621487
175174,175174,35.0,0.73066520690918,0.23280803859234,10.497487437186,0.7668580229878588,17.673167723269255,0.3084549660282386
176175,176175,35.0,0.73249715566635,0.23129008710384,10.517587939698,0.768145290587526,17.52380411563037,0.3058480792922831
177176,177176,35.0,0.73431086540222,0.22976242005825,10.537688442211,0.7694174528295943,17.374656406680007,0.303244960699293
178177,178177,35.0,0.73609411716461,0.22825272381306,10.557788944724,0.7706710421784562,17.22794879195752,0.3006844297846383
179178,179178,35.0,0.7378591299057,0.2267322987318,10.577889447236,0.7719090819995597,17.0813550652148,0.298125886590209
180179,180179,35.0,0.73959195613861,0.22520531713963,10.597989949749,0.773119458074169,16.9354617676608,0.2955795681912999
181180,181180,35.0,0.74130290746689,0.22370746731758,10.618090452261,0.7743223046977987,16.792556778659666,0.2930854056157038
182181,182181,35.0,0.74299961328506,0.22219815850258,10.638190954774,0.7755130218014953,16.649586420690508,0.2905901021363871
183182,183182,35.0,0.7446660399437,0.22070840001106,10.658291457286,0.7766850770298566,16.50907274806299,0.2881376759049674
184183,184183,35.0,0.74630707502365,0.21919669210911,10.678391959799,0.7778312413769017,16.36795919141337,0.285674779722232
185184,185184,35.0,0.74793058633804,0.2177145332098,10.698492462312,0.7789735425229315,16.229708761579577,0.283261854529335
186185,186185,35.0,0.7495384812355,0.21622169017792,10.718592964824,0.7801023997887819,16.091427953356153,0.2808483991335174
187186,187186,35.0,0.75112026929855,0.21474738419056,10.738693467337,0.7812157819500412,15.95538102347956,0.278473932269941
188187,188187,35.0,0.75267505645752,0.21325214207172,10.758793969849,0.7823018705790674,15.818785906830303,0.2760898977422658
189188,189188,35.0,0.75422149896622,0.21177259087563,10.778894472362,0.783388600727014,15.683840173169534,0.273734650378366
190189,190189,35.0,0.75574100017548,0.21030969917774,10.798994974874,0.7844581753761422,15.550968806936,0.2714156075559676
191190,191190,35.0,0.75723606348038,0.20882791280746,10.819095477387,0.7855033755514882,15.417605300154314,0.2690879752606214
192191,192191,35.0,0.75871688127518,0.20737326145172,10.839195979899,0.7865462322693174,15.286777231825852,0.2668045947142656
193192,193192,35.0,0.76018363237381,0.20591093599796,10.859296482412,0.7875775952200493,15.156024993577176,0.2645225376524741
194193,194193,35.0,0.7616268992424,0.20446392893791,10.879396984925,0.7885943392431369,15.0271326985796,0.2622729427243146
195194,195194,35.0,0.76304459571838,0.20299991965294,10.899497487437,0.7895859816600888,14.89785777451095,0.260016669659051
196195,196195,35.0,0.76445138454437,0.20156055688858,10.91959798995,0.7905773696641201,14.770836531847657,0.2577997307546018
197196,197196,35.0,0.76584297418594,0.20011618733406,10.939698492462,0.7915566622441422,14.6440615846257,0.2555870905165367
198197,198197,35.0,0.76720601320267,0.19866713881493,10.959798994975,0.7925110085918341,14.517790506099448,0.2533832444462093
199198,199198,35.0,0.76855909824371,0.19723926484585,10.979899497487,0.7934648165420545,14.39348346033215,0.2512136772141426
200199,200199,35.0,0.76989787817001,0.19581009447575,11.0,0.7944081670711132,14.269639181218771,0.2490521867838553
