,Lambda,MSE,MSE_formula
52,8.0452261306533,1.1624149406018396e-05,1.162414940601839e-05
53,8.0653266331658,1.3257170962127745e-05,1.3257170962127739e-05
54,8.0854271356784,1.493567916194821e-05,1.4935679161948204e-05
55,8.105527638191,1.6631667423022896e-05,1.6631667423022882e-05
56,8.1256281407035,1.832870696691824e-05,1.8328706966918236e-05
57,8.1457286432161,1.9995003974381287e-05,1.9995003974381267e-05
58,8.1658291457286,2.160937783132621e-05,2.1609377831326226e-05
59,8.1859296482412,2.3144977267495678e-05,2.3144977267495647e-05
60,8.2060301507538,2.4584548973689624e-05,2.458454897368962e-05
61,8.2261306532663,2.590718091542504e-05,2.5907180915425034e-05
62,8.2462311557789,2.7093883287048744e-05,2.709388328704873e-05
63,8.2663316582915,2.8185029420283736e-05,2.8185029420283726e-05
64,8.286432160804,2.908341081299877e-05,2.9083410812998764e-05
65,8.3065326633166,2.9804527217552267e-05,2.9804527217552297e-05
66,8.3266331658291,3.0375944732876083e-05,3.03759447328761e-05
67,8.3467336683417,3.0744938736636014e-05,3.0744938736636e-05
68,8.3668341708543,3.093504370306623e-05,3.0935043703066205e-05
69,8.3869346733668,3.0837105061100454e-05,3.0837105061100475e-05
70,8.4070351758794,3.067610619993923e-05,3.067610619993922e-05
71,8.427135678392,3.03486406987781e-05,3.0348640698778084e-05
72,8.4472361809045,2.9858527492617848e-05,2.9858527492617875e-05
73,8.4673366834171,2.9219978064765306e-05,2.92199780647653e-05
74,8.4874371859296,2.831692419594214e-05,2.8316924195942135e-05
75,8.5075376884422,2.740845319484287e-05,2.7408453194842886e-05
76,8.5276381909548,2.6385696737742986e-05,2.6385696737742952e-05
77,8.5477386934673,2.5291266803675672e-05,2.529126680367567e-05
78,8.5678391959799,2.3915574312127322e-05,2.3915574312127332e-05
79,8.5879396984925,2.2630470375157585e-05,2.2630470375157588e-05
80,8.608040201005,2.1306350223499512e-05,2.130635022349951e-05
81,8.6281407035176,1.9829492424520288e-05,1.9829492424520308e-05
82,8.6482412060301,1.843112981672174e-05,1.8431129816721734e-05
83,8.6683417085427,1.7026458126773726e-05,1.7026458126773723e-05
84,8.6884422110553,1.5525270501810802e-05,1.552527050181079e-05
85,8.7085427135678,1.4164081099510254e-05,1.416408109951025e-05
86,8.7286432160804,1.28336495921971e-05,1.2833649592197101e-05
87,8.748743718593,1.1465666200595223e-05,1.1465666200595203e-05
88,8.7688442211055,1.0258898661472281e-05,1.0258898661472286e-05
89,8.7889447236181,9.130817742518327e-06,9.13081774251832e-06
90,8.8090452261307,7.973786048717057e-06,7.973786048717056e-06
91,8.8291457286432,7.043800231045468e-06,7.043800231045469e-06
92,8.8492462311558,6.161309262886928e-06,6.161309262886931e-06
93,8.8693467336683,5.457097040601001e-06,5.4570970406010115e-06
94,8.8894472361809,4.823781388194591e-06,4.8237813881946e-06
95,8.9095477386935,4.3695393060731704e-06,4.369539306073163e-06
96,8.929648241206,4.017813695408849e-06,4.0178136954088485e-06
97,8.9497487437186,3.8029549509656448e-06,3.802954950965648e-06
98,8.9698492462312,3.711187999698392e-06,3.7111879996983943e-06
99,8.9899497487437,3.7622720889618296e-06,3.76227208896183e-06
100,9.0100502512563,3.893927147079554e-06,3.893927147079557e-06
101,9.0301507537688,4.1587262833796235e-06,4.158726283379624e-06
102,9.0502512562814,4.566756480649486e-06,4.566756480649495e-06
103,9.070351758794,5.03719997669025e-06,5.037199976690249e-06
104,9.0904522613065,5.639233644566027e-06,5.639233644566022e-06
105,9.1105527638191,6.335928486887312e-06,6.335928486887308e-06
106,9.1306532663317,7.048276158891223e-06,7.048276158891219e-06
107,9.1507537688442,7.89142288239898e-06,7.891422882398974e-06
108,9.1708542713568,8.707456107680047e-06,8.707456107680047e-06
109,9.1909547738693,9.633545067081233e-06,9.633545067081249e-06
110,9.2110552763819,1.0595540049359014e-05,1.0595540049359019e-05
111,9.2311557788945,1.1467681636508753e-05,1.1467681636508756e-05
112,9.251256281407,1.2437189542025004e-05,1.2437189542025021e-05
113,9.2713567839196,1.3427052767478436e-05,1.342705276747843e-05
114,9.2914572864322,1.4235010898130676e-05,1.4235010898130675e-05
115,9.3115577889447,1.510132371413448e-05,1.5101323714134481e-05
116,9.3316582914573,1.5957677126488214e-05,1.5957677126488208e-05
117,9.3517587939699,1.673526568789731e-05,1.6735265687897313e-05
118,9.3718592964824,1.7300062485056626e-05,1.730006248505665e-05
119,9.391959798995,1.7938224185584342e-05,1.7938224185584383e-05
120,9.4120603015075,1.8467297954841316e-05,1.8467297954841322e-05
121,9.4321608040201,1.8760666274318547e-05,1.8760666274318527e-05
122,9.4522613065327,1.908735909029082e-05,1.9087359090290823e-05
123,9.4723618090452,1.932144692267429e-05,1.9321446922674247e-05
124,9.4924623115578,1.943518314046629e-05,1.9435183140466286e-05
125,9.5125628140704,1.9439419957896056e-05,1.9439419957896076e-05
126,9.5326633165829,1.917852873909183e-05,1.9178528739091825e-05
127,9.5527638190955,1.895345927630805e-05,1.8953459276308048e-05
128,9.572864321608,1.8619585158712164e-05,1.8619585158712137e-05
129,9.5929648241206,1.8185427066362874e-05,1.8185427066362837e-05
130,9.6130653266332,1.7635758028973568e-05,1.763575802897355e-05
131,9.6331658291457,1.685888387815213e-05,1.6858883878152137e-05
132,9.6532663316583,1.6142058693868795e-05,1.614205869386878e-05
133,9.6733668341709,1.5329736450191383e-05,1.5329736450191362e-05
134,9.6934673366834,1.4463303013308787e-05,1.4463303013308789e-05
135,9.713567839196,1.354454335909197e-05,1.3544543359091974e-05
136,9.7336683417085,1.2562369369133401e-05,1.2562369369133403e-05
137,9.7537688442211,1.1560005640461076e-05,1.1560005640461088e-05
138,9.7738693467337,1.0539699510334151e-05,1.0539699510334136e-05
139,9.7939698492462,9.514832417470371e-06,9.514832417470352e-06
140,9.8140703517588,8.367877681219857e-06,8.367877681219857e-06
141,9.8341708542714,7.380208901333836e-06,7.380208901333842e-06
142,9.8542713567839,6.423609689195577e-06,6.423609689195576e-06
143,9.8743718592965,5.507163009514233e-06,5.50716300951424e-06
144,9.894472361809,4.667202898386136e-06,4.667202898386137e-06
145,9.9145728643216,3.903479898998255e-06,3.903479898998254e-06
146,9.9346733668342,3.221425792955489e-06,3.221425792955488e-06
147,9.9547738693467,2.6480294728313303e-06,2.6480294728313316e-06
148,9.9748743718593,2.185495713760676e-06,2.185495713760676e-06
149,9.9949748743719,1.8328860480960521e-06,1.8328860480960521e-06
150,10.015075376884,1.6061282818490313e-06,1.606128281849032e-06
151,10.035175879397,1.5128349277005309e-06,1.5128349277005313e-06
152,10.05527638191,1.5516074055134802e-06,1.5516074055134802e-06
153,10.075376884422,1.722979136577369e-06,1.7229791365773658e-06
154,10.095477386935,2.0357562064520905e-06,2.0357562064520884e-06
155,10.115577889447,2.4769350042702864e-06,2.476935004270285e-06
156,10.13567839196,3.046108424566025e-06,3.0461084245660306e-06
157,10.155778894472,3.7426107729133265e-06,3.7426107729133265e-06
158,10.175879396985,4.538186259023268e-06,4.538186259023269e-06
159,10.195979899497,5.438243061848089e-06,5.43824306184809e-06
160,10.21608040201,6.430923960936526e-06,6.430923960936526e-06
161,10.236180904523,7.486970067182482e-06,7.486970067182486e-06
162,10.256281407035,8.603931467318857e-06,8.603931467318855e-06
163,10.276381909548,9.75064065998672e-06,9.75064065998673e-06
164,10.29648241206,1.0913196271340579e-05,1.091319627134057e-05
165,10.316582914573,1.2067104555862501e-05,1.2067104555862518e-05
166,10.336683417085,1.318750869610761e-05,1.3187508696107618e-05
167,10.356783919598,1.424551585168896e-05,1.4245515851688971e-05
168,10.376884422111,1.5165922737111174e-05,1.516592273711122e-05
169,10.396984924623,1.6037790522110316e-05,1.603779052211033e-05
170,10.417085427136,1.6760373244258212e-05,1.67603732442582e-05
171,10.437185929648,1.733561500241039e-05,1.7335615002410383e-05
172,10.457286432161,1.773025937736205e-05,1.773025937736205e-05
173,10.477386934673,1.7926822512179237e-05,1.792682251217925e-05
174,10.497487437186,1.7849366486108664e-05,1.784936648610865e-05
175,10.517587939698,1.759495203612198e-05,1.7594952036121963e-05
176,10.537688442211,1.711748023422454e-05,1.7117480234224554e-05
177,10.557788944724,1.639412711352386e-05,1.6394127113523848e-05
178,10.577889447236,1.544411516983557e-05,1.5444115169835545e-05
179,10.597989949749,1.422069073100591e-05,1.4220690731005898e-05
180,10.618090452261,1.2842543601783096e-05,1.2842543601783067e-05
181,10.638190954774,1.1298129484687147e-05,1.1298129484687156e-05
182,10.658291457286,9.61840417700765e-06,9.618404177007655e-06
183,10.678391959799,7.819941350420405e-06,7.8199413504204e-06
184,10.698492462312,6.0491216034753e-06,6.049121603475299e-06
185,10.718592964824,4.345383245026846e-06,4.345383245026844e-06
186,10.738693467337,2.7953228421648265e-06,2.795322842164828e-06
187,10.758793969849,1.4908208278448364e-06,1.4908208278448358e-06
188,10.778894472362,6.09349107253852e-07,6.093491072538501e-07
189,10.798994974874,2.7302927590623914e-07,2.7302927590623967e-07
190,10.819095477387,6.456123949303917e-07,6.456123949303931e-07
191,10.839195979899,1.938184943074497e-06,1.9381849430744974e-06
192,10.859296482412,4.3575533871191e-06,4.357553387119103e-06
193,10.879396984925,8.15145570158777e-06,8.151455701587778e-06
194,10.899497487437,1.3614581446606763e-05,1.3614581446606771e-05
195,10.91959798995,2.1033497210294608e-05,2.1033497210294594e-05
196,10.939698492462,3.077166016062679e-05,3.0771660160626774e-05
197,10.959798994975,4.3249937397469406e-05,4.3249937397469365e-05
198,10.979899497487,5.886535179458671e-05,5.886535179458669e-05
199,11.0,7.814587092329728e-05,7.81458709232972e-05
